//Local;Ativo;escritório-CEP;escritório-número;andar-número;sala-nome
A2;1;95059320;124;4;Escritório
A3;1;95059320;124;4;Escritório
A1;1;95059320;124;4;Escritório
A4;1;95059320;124;4;Escritório
A5;1;95059320;124;4;Escritório
A6;1;95059320;124;4;Escritório
A7;1;95059320;124;4;Escritório
A8;1;95059320;124;4;Escritório
B1;1;95059320;124;4;Escritório
B2;1;95059320;124;4;Escritório
B3;1;95059320;124;4;Escritório
B4;1;95059320;124;4;Escritório
B5;1;95059320;124;4;Escritório
B6;1;95059320;124;4;Escritório
B7;1;95059320;124;4;Escritório
B8;1;95059320;124;4;Escritório
C1;1;95059320;124;4;Escritório
C2;1;95059320;124;4;Escritório
C3;1;95059320;124;4;Escritório
C4;1;95059320;124;4;Escritório
C5;1;95059320;124;4;Escritório
C6;1;95059320;124;4;Escritório
C7;1;95059320;124;4;Escritório
C8;1;95059320;124;4;Escritório
D1;1;95059320;124;4;Escritório
D2;1;95059320;124;4;Escritório
D3;1;95059320;124;4;Escritório
D4;1;95059320;124;4;Escritório
D5;1;95059320;124;4;Escritório
D6;1;95059320;124;4;Escritório
D7;1;95059320;124;4;Escritório
D8;1;95059320;124;4;Escritório
E1;1;95059320;124;4;Escritório
E2;1;95059320;124;4;Escritório
E3;1;95059320;124;4;Escritório
E4;1;95059320;124;4;Escritório
E5;1;95059320;124;4;Escritório
E6;1;95059320;124;4;Escritório
E7;1;95059320;124;4;Escritório
E8;1;95059320;124;4;Escritório
F1;1;95059320;124;4;Escritório
F2;1;95059320;124;4;Escritório
F3;1;95059320;124;4;Escritório
F4;1;95059320;124;4;Escritório
F5;1;95059320;124;4;Escritório
F6;1;95059320;124;4;Escritório
F7;1;95059320;124;4;Escritório
F8;1;95059320;124;4;Escritório
G1;1;95059320;124;4;Escritório
G2;1;95059320;124;4;Escritório
G3;1;95059320;124;4;Escritório
G4;1;95059320;124;4;Escritório
G5;1;95059320;124;4;Escritório
G6;1;95059320;124;4;Escritório
G7;1;95059320;124;4;Escritório
G8;1;95059320;124;4;Escritório
H1;1;95059320;124;4;Escritório
H2;1;95059320;124;4;Escritório
H3;1;95059320;124;4;Escritório
H4;1;95059320;124;4;Escritório
H5;1;95059320;124;4;Escritório
H6;1;95059320;124;4;Escritório
H7;1;95059320;124;4;Escritório
H8;1;95059320;124;4;Escritório
I1;1;95059320;124;4;Escritório
I2;1;95059320;124;4;Escritório
I3;1;95059320;124;4;Escritório
I4;1;95059320;124;4;Escritório
I5;1;95059320;124;4;Escritório
I6;1;95059320;124;4;Escritório
I7;1;95059320;124;4;Escritório
I8;1;95059320;124;4;Escritório
J1;1;95059320;124;4;Escritório
J2;1;95059320;124;4;Escritório
J3;1;95059320;124;4;Escritório
J4;1;95059320;124;4;Escritório
J5;1;95059320;124;4;Escritório
J6;1;95059320;124;4;Escritório
J7;1;95059320;124;4;Escritório
J8;1;95059320;124;4;Escritório
K1;1;95059320;124;4;Escritório
K2;1;95059320;124;4;Escritório
K3;1;95059320;124;4;Escritório
K4;1;95059320;124;4;Escritório
K5;1;95059320;124;4;Escritório
K6;1;95059320;124;4;Escritório
K7;1;95059320;124;4;Escritório
K8;1;95059320;124;4;Escritório
L1;1;95059320;124;4;Escritório
L2;1;95059320;124;4;Escritório
L3;1;95059320;124;4;Escritório
L4;1;95059320;124;4;Escritório
A2;1;95059320;124;5;Escritório
A3;1;95059320;124;5;Escritório
A1;1;95059320;124;5;Escritório
A4;1;95059320;124;5;Escritório
A5;1;95059320;124;5;Escritório
A6;1;95059320;124;5;Escritório
A7;1;95059320;124;5;Escritório
A8;1;95059320;124;5;Escritório
B1;1;95059320;124;5;Escritório
B2;1;95059320;124;5;Escritório
B3;1;95059320;124;5;Escritório
B4;1;95059320;124;5;Escritório
B5;1;95059320;124;5;Escritório
B6;1;95059320;124;5;Escritório
B7;1;95059320;124;5;Escritório
B8;1;95059320;124;5;Escritório
C1;1;95059320;124;5;Escritório
C2;1;95059320;124;5;Escritório
C3;1;95059320;124;5;Escritório
C4;1;95059320;124;5;Escritório
