//código;descrição;ativo;escritório-cep;escritório-número;andar-número;sala-nome;mesa-local
SJNRUOJJ;Cadeira;1;95059320;124;4;Escritório;A1
APTAFKF0;Monitor 22" Samsung;1;95059320;124;4;Escritório;A1
T42AOHYX;Teclado Logitech;1;95059320;124;4;Escritório;A1
V5Q3BG0D;Mouse Logitech;1;95059320;124;4;Escritório;A1
BRXFIRL3;Cadeira;1;95059320;124;4;Escritório;A2
N8JKIL2O;Monitor 21" Samsung;1;95059320;124;4;Escritório;A2
J3R1ZWO5;Teclado Dell;1;95059320;124;4;Escritório;A2
Q473OICY;Mouse Dell;1;95059320;124;4;Escritório;A2
7Q7FT5ZO;Cadeira;1;95059320;124;4;Escritório;A3
VW1AL9SX;Monitor 19" Dell;1;95059320;124;4;Escritório;A3
MIE7MD6J;Teclado Dell;1;95059320;124;4;Escritório;A3
T4FFARKJ;Mouse HP;1;95059320;124;4;Escritório;A3
F5WRH514;Cadeira;1;95059320;124;4;Escritório;A4
KVTZ0VL6;Monitor 23" LG;1;95059320;124;4;Escritório;A4
D6HODQLZ;Teclado Dell;1;95059320;124;4;Escritório;A4
WM131B94;Mouse HP;1;95059320;124;4;Escritório;A4
MKXD3FEI;Cadeira;1;95059320;124;4;Escritório;A5
JNINXMNA;Monitor 23" Dell;1;95059320;124;4;Escritório;A5
BR40MRKD;Teclado Logitech;1;95059320;124;4;Escritório;A5
B3COA0PA;Mouse HP;1;95059320;124;4;Escritório;A5
H5LZOTYE;Cadeira;1;95059320;124;4;Escritório;A6
F0GM5QJP;Monitor 18" LG;1;95059320;124;4;Escritório;A6
JW0VDFAO;Teclado HP;1;95059320;124;4;Escritório;A6
09AZFBYJ;Mouse Dell;1;95059320;124;4;Escritório;A6
8M0JIFOH;Cadeira;1;95059320;124;4;Escritório;A7
1LK6DR8J;Monitor 18" LG;1;95059320;124;4;Escritório;A7
2EHIT1S7;Teclado Logitech;1;95059320;124;4;Escritório;A7
RZER714P;Mouse Logitech;1;95059320;124;4;Escritório;A7
LJQASF79;Cadeira;1;95059320;124;4;Escritório;A8
T8CIYJP3;Monitor 24" Dell;1;95059320;124;4;Escritório;A8
NVEOOZ2K;Teclado Dell;1;95059320;124;4;Escritório;A8
GS480QN3;Mouse Logitech;1;95059320;124;4;Escritório;A8
EQPIYKXP;Cadeira;1;95059320;124;4;Escritório;B1
34DQ9QE2;Monitor 20" Samsung;1;95059320;124;4;Escritório;B1
KE0CH1TJ;Teclado Dell;1;95059320;124;4;Escritório;B1
2GKGB2ZD;Mouse Dell;1;95059320;124;4;Escritório;B1
H3P630PF;Cadeira;1;95059320;124;4;Escritório;B2
UNAIB9UR;Monitor 21" HP;1;95059320;124;4;Escritório;B2
9CNZEN2N;Teclado Logitech;1;95059320;124;4;Escritório;B2
4KVXHP4K;Mouse Logitech;1;95059320;124;4;Escritório;B2
OSQ0UO38;Cadeira;1;95059320;124;4;Escritório;B3
WU4BVSKM;Monitor 18" Samsung;1;95059320;124;4;Escritório;B3
TEYZYQWD;Teclado HP;1;95059320;124;4;Escritório;B3
IUFH08LG;Mouse Dell;1;95059320;124;4;Escritório;B3
EEYKD7JR;Cadeira;1;95059320;124;4;Escritório;B4
